      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 10   00:29:39    451      0   00:33:32    514      0
  9   00:40:45    730      0   00:41:33    244      0
  8   00:15:26    466      0   00:24:55    434      0
  7   00:16:38    324      0   00:37:45    187      0
  6   01:08:44   1158      0   01:26:19   1028      0
  5   00:13:48    663      0   00:22:36    560      0
  4   03:14:23   3428      0   03:20:38   3201      0
  3       >24h  18711      0       >24h  17518      0
  2       >24h  30232      0       >24h  26905      0
  1       >24h  45373      0       >24h  36249      0
